index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Steelpillar Gift	488	100			1	1	1	30	7p7	war pike		3	5000	cgrn	cgrn						oskill	68	3	3	ac%		20	30	indestruct		1	1	red-mag		4	4	abyssal-display		2	10	att		60	60	manasteal		4	5	mana		175	175	balance2		20	20	fire-min		3	4	fire-max		5	8	swing2		25	25		0
Nightwing's Veil Gift	489	100			1	1	1	30	uhm	spired helm		3	5000	cred	cred						allskills		2	2	extra-cold		8	15	light		2	2	dmg-cold	50	40	40	gethit-skill	101	50	0	dmg-pois	250	500	500	deadly		15	15	cast2		35	35	abyssal-display		2	10	dru		1	1	oskill	47	7	7	res-pois	0	15	15		0
Crown of Ages Gift	490	100			1	1	1	30	urn	corona		3	5000	cgrn	cgrn						ac%		50	50	indestruct		1	1	dmg-norm		5	10	dmg%		200	240	str		10	10	heal-kill		6	9	cast3		25	25	res-pois-max		5	5	dmg-min		15	20	oskill	144	6	6	abyssal-display		2	10	res-all		50	50		0
Andariel's Visage Gift	491	100			1	1	1	30	usk	demonhead		3	5000	cred	cred						res-fire		-30	-30	allskills		2	2	str		25	30	mana		30	30	res-cold		20	20	dmg-norm		12	45	dur		50	50	pierce-fire		3	5	nofreeze		1	1	block		20	20	abyssal-display		2	10	red-dmg		3	3		0
Dragonscale Gift	492	100			1	1	1	30	pae	zakarum shield		3	5000	cred	cred						res-fire-max		5	5	dmg-fire		211	371	abyssal-display		2	10	dex		10	10	skilltab	13	2	2	red-dmg%		35	35	lifesteal		5	9	hit-skill	Weaken	8	3	mana-kill	0	1	1	res-all		16	20	bar		2	2	manasteal		3	3		0
Steel Carapice Gift	493	100			1	1	1	30	uul	shadow plate		3	5000	cgrn	cgrn						noheal		1	1	abyssal-display		2	10	block		20	20	sor		2	2	demon-heal		15	15	res-all		20	20	mana-kill		5	5	dex		3	4	rep-dur	5			swing2		10	10	ltng-min		1	1	ltng-max		11	18		0
Medusa's Gaze Gift	494	100			1	1	1	30	uow	aegis		3	5000	cred	cred						slow		20	20	att		100	100	ac%		180	220	att%		20	20	cheap		10	15	hit-skill	Bone Spear	15	10	mag%		20	20	ac		15	15	dmg-fire		211	397	regen-mana	0	12	12	res-cold-max		5	5	abyssal-display		2	10		0
Ravenlore Gift	495	100			1	1	1	30	dre	sky spirit		3	5000	cgrn	cgrn						ac%		120	150	dmg-fire		15	32	abyssal-display		2	10	res-pois		50	50	sor		1	1	att-skill	47	10	0	hit-skill	Tornado	20	16	str		10	10	ac		20	25	skilltab	1	1	1	mana		16	20	red-dmg		1	1		0
Boneshade Gift	496	100			1	1	1	30	7bw	lich wand		3	5000	cred	cred						sock		1	2	mana-kill		3	5	abyssal-display		2	10	cast2		20	20	res-all		50	50	cold-min		11	15	cold-max		21	30	oskill	Teeth	4	5	slow		25	25	indestruct		1	1	str		20	20	manasteal		5	5		0
Flamebellow Gift	497	100			1	1	1	30	7gs	balrog blade		3	5000	cred	cred		1				str		10	20	abs-fire%		20	30	dmg/lvl	10			allskills		5	5	ac%		50	50	att-demon		300	300	mana		31	40	res-all		21	30	skilltab	20	2	2	abyssal-display		2	10	oskill	48	7	7	dmg-pois	125	52	52		0
Fathom Gift	498	100			1	1	1	30	obf	dimensional shard		3	5000	cgrn	cgrn						cast2		20	20	ac%		120	160	mana-kill		3	3	regen		15	15	gethit-skill	76	10	2	skill-rand	3	36	60	lifesteal		7	10	hit-skill	Molten Boulder	5	23	block3		30	30	abyssal-display		2	10	dex		10	15	oskill	86	5	5		0
Wolfhowl Gift	499	100			1	1	1	30	bac	fury visor		3	5000	cgrn	cgrn						vit		8	15	oskill	Feral Rage	3	6	hit-skill	66	5	1	red-mag		7	11	skilltab	12	2	2	openwounds		50	50	abs-fire		5	11	kill-skill	Decrepify	50	6	noheal		1	1	dmg%		101	200	abyssal-display		2	10	res-all		50	50		0
Spirit Ward Gift	500	100			1	1	1	30	uts	ward		3	5000	cred	cred		1				res-all		30	40	ac-miss		50	50	nec		2	2	thorns		8	8	dmg%		210	260	regen-stam		10	10	enr		40	50	dmg		340	400	dmg-max		4	5	abyssal-display		2	10	oskill	24	5	5	fade		1	1		0
Kira's Guardian Gift	501	100			1	1	1	30	ci2	tiara		3	5000	cred	cred						ac		50	120	gethit-skill	Iron Maiden	8	6	manasteal		9	12	allskills		1	1	swing2		20	20	nofreeze		1	1	dmg%		201	300	lifesteal		10	10	str		20	20	ac%		150	200	res-pois		20	20	abyssal-display		2	10		0
Ormus' Robes Gift	502	100			1	1	1	30	uui	dusk shroud		3	5000	cgrn	cgrn						dmg-pois	100	128	128	ac		10	20	skill-rand	3	36	60	dmg%		190	240	str		10	10	hp		75	75	ac%		101	200	ease		20	20	pois-min		16	16	pois-max		48	48	pois-len		75	75	abyssal-display		2	10		0
Stormlash Gift	503	100			1	1	1	30	7fl	scourge		3	5000	cred	cred						swing2		30	30	abs-ltng		3	9	nec		1	1	allskills		2	2	crush		33	33	mag%		20	50	ac		170	210	hit-skill	Venom	25	15	abyssal-display		2	10	res-pois		26	30	skilltab	12	1	1	red-dmg		8	15		0
Halaberd's Reign Gift	504	100			1	1	1	30	bae	conqueror crown		3	5000	cgrn	cgrn						ac%		140	170	skilltab	13	1	1	dmg%		50	80	swing2		20	20	hit-skill	53	5	10	str		15	15	ac		300	300	vit		15	15	att		21	40	att/lvl	33			abyssal-display		2	10	enr		11	15		0
Spike Thorn Gift	505	100			1	1	1	30	upk	blade barrier		5	5000	cgrn	cgrn		1				dur		250	250	dmg%		50	70	dex		10	10	att		150	150	openwounds		10	10	nofreeze		1	1	slow		25	25	gethit-skill	Venom	20	18	regen		10	10	abyssal-display		2	10	dmg-ltng		15	15	res-all		50	50		0
Dracul's Grasp Gift	506	100			1	1	1	30	uvg	vampirebone gloves		5	5000	cred	cred						mag%		5	15	ac		300	300	dmg-ltng		15	15	fire-min		4	7	fire-max		8	19	abyssal-display		2	10	light		3	3	res-pois		40	40	hit-skill	44	10	3	openwounds		25	25	nec		2	2	att-demon		100	100		0
Frostwind Gift	507	100			1	1	1	30	7ls	cryptic sword		5	5000	cgrn	cgrn		1				half-freeze		1	1	dmg%		180	230	manasteal		6	8	ac		25	25	res-pois		27	27	dex		16	20	oskill	64	3	3	allskills		2	2																		0
Templar's Might Gift	508	100			1	1	1	30	uar	sacred armor		5	5000	cred	cred		1				skilltab	10	1	2	str		10	15	att		30	30	dmg%		5	5	pierce-ltng		35	35	att-skill	Nova	15	22	indestruct		1	1	stupidity		10	10	res-cold		30	30	ac		400	400	abyssal-display		2	10	oskill	16	4	4		0
Eschuta's temper Gift	509	100			1	1	1	30	obc	eldritch orb		5	5000	cgrn	cgrn						cast2		40	40	dmg%		120	150	gethit-skill	92	9	6	ac%		150	200	res-cold		31	40	hp		21	30																										0
Firelizard's Talons Gift	510	100			1	1	1	30	7lw	feral claws		5	5000	cred	cred						dmg%		200	270	vit		10	10	ltng-min		1	1	abyssal-display		2	10	ac		50	50	openwounds		33	33	skilltab	8	2	2	dmg-to-mana		35	35	block2		30	30	extra-fire		3	5	oskill	Wake of Fire Sentry	1	2	ease		-50	-50		0
Sandstorm Trek Gift	511	100			1	1	1	30	uvb	scarabshell boots		5	5000	cgrn	cgrn						ac%		140	170	balance2		20	20	mana-kill		6	6	dmg-norm		35	40	dex		20	20	allskills		1	1	str		15	20	oskill	Warmth	1	1	aura-display	Holy Freeze	18	18	mag%/lvl	4			ac		10	12	abyssal-display		2	10		0
Marrowwalk Gift	512	100			1	1	1	30	umb	boneweave boots		5	5000	cred	cred						move2		20	20	abyssal-display		2	10	oskill	Skeleton Mastery	1	2	dmg-undead		100	100	dmg%		165	165	crush		50	50	block2		30	30	att%		10	10	res-all		15	15	mana		100	100	res-cold	0	22	22	balance2		20	20		0
Heaven's Light Gift	513	100			1	1	1	30	7sc	mighty scepter		5	5000	cgrn	cgrn						demon-heal		15	20	sock		1	3	openwounds		50	50	dmg-fire		15	32	dmg%		150	180	res-ltng		20	40	res-all		30	30	str		10	10	cast2		10	10	mag%		20	30	dmg-max		2	5	abyssal-display		2	10		0
Arachnid Mesh Gift	514	100			1	1	1	30	ulc	spiderweb sash		5	5000	cgrn	cgrn						slow		10	10	red-dmg		5	5	dmg-cold	50	40	40	regen-stam		15	15	dmg%		60	120	hp%		20	20	swing2		20	20	oskill	Revive	8	63	gold%		50	50	hp		31	35	abyssal-display		2	10	dex		30	30		0
Nosferatu's Coil Gift	515	100			1	1	1	30	uvc	vampirefang belt		5	5000	cred	cred						mana-kill		2	2	light		-3	-3	dur		20	40	att		30	30	str		15	20	reduce-ac		50	50	dmg-fire		20	240	extra-fire		10	20	abyssal-display		2	10	dmg-pois	75	18	18	oskill	14	6	6	allskills		1	1		0
Metalgrid Gift	516	100			1	1	1	30	amu	amulet		5	5000	cgrn	cgrn						oskill	IronGolem	11	22	swing3		30	30	slow		20	20	hit-skill	52	2	10	nec		2	2	res-pois		35	50	lifesteal		5	5	ac%		81	100	dmg%		51	65	res-ltng		16	30	skilltab	20	1	1	abyssal-display		2	10		0
Verdugo's Hearty Cord Gift	517	100			1	1	1	30	umc	mithril coil		5	5000	cred	cred						oskill	59	2	2	cold-min		5	7	cold-max		9	14	str		10	10	dmg%		70	80	ac%		90	140	res-ltng		11	12	red-dmg		2	2	abyssal-display		2	10	dex		10	10	death-skill	Nova	100	44	enr		35	35		0
Carrion Wind Gift	518	100			1	1	1	30	rin	ring		3	5000	cred	cred						oskill	Plague Poppy	15	21	dmg-to-mana		10	10	dex		20	20	light-thorns		3	3	dmg-norm		30	50	swing2		20	20	freeze		2	2	ac		150	220	abyssal-display		2	10	att		103	117	mana		53	59	mag%		50	50		0
Giantskull Gift	519	100			1	1	1	30	uh9	bone visage		3	5000	cgrn	cgrn						sock		1	2	dmg%		80	120	ac		10	20	res-fire		45	45	str		8	8	openwounds		10	10	hp/lvl	4			indestruct		1	1	red-mag		5	9	aura-display	Fanaticism	9	9	res-pois		50	50	abyssal-display		2	10		0
Ironward Gift	520	100			1	1	1	30	7ws	caduceus		3	5000	cred	cred						allskills		2	2	reduce-ac		33	33	lifesteal		5	5	red-mag		3	3	att%		150	200	ltng-min		1	1	ltng-max		3	6	enr		20	20	regen-mana		10	15	att		100	100	extra-ltng		10	15	res-cold		30	30		0
Arioc's Needle Gift	521	100			1	1	1	30	7sr	hyperion spear		3	5000	cgrn	cgrn						swing2		30	30	lifesteal		5	5	ac%		100	120	ac-miss		250	300	ac/lvl	20			light		4	4	mag%		10	15	dmg-pois	75	24	24	str		2	3	dex		1	1	res-pois-len		75	75						0
Cranebeak Gift	522	100			1	1	1	30	7mp	war spike		3	5000	cred	cred		1				dmg-ltng		1	305	lifesteal		5	5	ac%		80	100	dmg-cold	50	40	40	dmg-norm		15	35	oskill	58	3	3	openwounds		50	50	slow		20	20	regen-stam		25	25	pal		2	2	enr		16	20	dmg-pois	150	86	86		0
Nord's Tenderizer Gift	523	100			1	1	1	30	7cl	truncheon		3	5000	cgrn	cgrn		1				swing2		25	25	dmg-cold	125	205	455	dmg-undead		50	50	dmg%		150	200	att-skill	47	10	0	thorns		5	5	ac		400	600	res-cold		40	60	res-pois		11	20	dmg-ac		-25	-40	dmg-pois	125	103	103	balance2		30	30		0
Earthshifter Gift	524	100			1	1	1	30	7gm	thunder maul		3	5000	cred	cred						cast2		10	10	dmg%		250	300	skilltab	0	3	3	allskills		1	1	ac%		150	200	dmg-elem	33	63	324	hit-skill	Life Tap	5	10	crush		35	35	dmg-undead		25	50	dmg-pois	75	21	21	dmg-cold	25	1	1	dex		10	10		0
Wraithflight Gift	525	100			1	1	1	30	7gl	ghost glaive		3	5000	cgrn	cgrn						rep-quant	40			manasteal		5	5	dmg-to-mana		15	15	dmg-fire		5	30	skilltab	20	1	2	str/lvl	3			openwounds		25	25	enr		7	9	hp		150	150	cast1		20	20										0
Bonehew Gift	526	100			1	1	1	30	7o7	ogre axe		3	5000	cred	cred						noheal		1	1	oskill	70	3	3	manasteal		5	5	swing2		30	30	ac		170	210	extra-pois		3	5	skilltab	10	2	2	deadly		50	50	mana	0	11	20	bar	0	1	1	dmg-pois	100	39	39	stamdrain		80	90		0
Ondal's Wisdom Gift	527	100			1	1	1	30	6cs	elder staff		3	5000	cgrn	cgrn		1				cast2		45	45	res-all		15	15	res-fire		45	45	openwounds		25	25	str		25	25	enr		15	15	lifesteal		4	6	dmg%		180	230	res-ltng		40	40	att	0	10	20	oskill	64	3	3	dmg-ltng/lvl	16				0
The Reedeemer Gift	528	100			1	1	1	30	7sc	mighty scepter		3	5000	cred	cred						vit		22	22	reduce-ac		33	33	light		4	4	res-all		25	35	oskill	Revive	20	25	dmg%		40	50	regen		3	5	ltng-min		1	1	ltng-max		17	40	dmg-to-mana		7	12	allskills		2	2	indestruct		1	1		0
Headhunter's Glory Gift	529	100			1	1	1	30	ush	troll nest		3	5000	cgrn	cgrn		1				sock		1	3	light		2	2	pal		1	1	dmg%		150	200	allskills		2	2	mana/lvl	16			regen-mana		20	20	mag%		50	50	att		118	132	skilltab	20	3	3	state	fullsetgeneric	1	1						0
Steelrend Gift	530	100			1	1	1	30	uhg	ogre gauntlets		3	5000	cred	cred						dmg%		30	60	swing1		10	10	red-dmg		2	2	att-demon		200	250	ac%		180	220	light		7	7	hit-skill	72	8	3	res-ltng-max		5	5	nofreeze		1	1	cast2		20	20	nec	0	1	1	str		2	3		0
Lump of Coal	531	100	1		1	1	1	1	cmm	charm		0	0	blac	blac	flpmss					aura	374	1	1	charm-slots		41	41	charm-slots-display		1	1																																						0
Miniature1	532	100	1		1	1	1	0	cmm	charm		0	0				invmss2	item_gem	12	item_gem	miniskill-rand	1	378	471	levelreq		-7	-7																																										0
